qr,product_id,filed,truth,est_x,est_y,est_z,true_x,true_y,true_z,dx_m,dy_m,dz_m,offset_m
WH1|A|03|3|SKU27331,SKU27331,A-03-L3,A-03-L3,-9.7,2.15,4.15,-9.716,2.1,4.15,0.016,0.05,0.0,0.052
WH1|B|06|1|SKU97115,SKU97115,B-06-L1,B-06-L1,-7.3,-5.95,0.75,-7.284,-5.9,0.75,-0.016,-0.05,0.0,0.052
WH1|C|02|3|SKU31819,SKU31819,C-02-L3,C-02-L3,-5.1,3.3,4.15,-5.116,3.25,4.15,0.016,0.05,0.0,0.052
WH1|C|01|3|SKU91403,SKU91403,C-01-L3,C-01-L3,-5.1,6.0,4.15,-5.116,5.95,4.15,0.016,0.05,0.0,0.052
WH1|D|05|1|SKU42921,SKU42921,D-05-L1,D-05-L1,-2.7,-3.3,0.75,-2.684,-3.25,0.75,-0.016,-0.05,0.0,0.052
WH1|F|01|3|SKU33628,SKU33628,F-01-L3,F-01-L3,1.9,6.65,4.15,1.916,6.65,4.2,-0.016,0.0,-0.05,0.052
WH1|F|04|3|SKU47676,SKU47676,F-04-L3,F-04-L3,1.9,-0.55,4.15,1.916,-0.55,4.2,-0.016,0.0,-0.05,0.052
WH1|F|06|1|SKU35258,SKU35258,F-06-L1,F-06-L1,1.9,-6.8,0.75,1.916,-6.75,0.75,-0.016,-0.05,0.0,0.052
WH1|G|06|2|SKU93320,SKU93320,G-06-L2,G-06-L2,4.1,-7.0,2.45,4.084,-6.95,2.45,0.016,-0.05,0.0,0.052
WH1|A|03|2|SKU60420,SKU60420,A-03-L2,A-03-L2,-9.7,2.11,2.45,-9.716,2.15,2.45,0.016,-0.04,0.0,0.043
WH1|A|05|2|SKU75465,SKU75465,A-05-L2,A-05-L2,-9.7,-3.89,2.45,-9.716,-3.85,2.45,0.016,-0.04,0.0,0.043
WH1|A|06|2|SKU37838,SKU37838,A-06-L2,A-06-L2,-9.7,-5.89,2.45,-9.716,-5.85,2.45,0.016,-0.04,0.0,0.043
WH1|A|04|3|SKU59076,SKU59076,A-04-L3,A-04-L3,-9.7,-1.21,4.15,-9.716,-1.25,4.15,0.016,0.04,0.0,0.043
WH1|A|03|3|SKU34481,SKU34481,A-03-L3,A-03-L3,-9.7,1.29,4.15,-9.716,1.25,4.15,0.016,0.04,0.0,0.043
WH1|A|02|3|SKU54564,SKU54564,A-02-L3,A-02-L3,-9.7,3.29,4.15,-9.716,3.25,4.15,0.016,0.04,0.0,0.043
WH1|A|01|3|SKU89028,SKU89028,A-01-L3,A-01-L3,-9.7,7.59,4.15,-9.716,7.55,4.15,0.016,0.04,0.0,0.043
WH1|B|05|2|SKU19307,SKU19307,B-05-L2,B-05-L2,-7.3,-3.81,2.45,-7.284,-3.85,2.45,-0.016,0.04,0.0,0.043
WH1|B|02|2|SKU62727,SKU62727,B-02-L2,B-02-L2,-7.3,3.19,2.45,-7.284,3.15,2.45,-0.016,0.04,0.0,0.043
WH1|B|02|1|SKU48995,SKU48995,B-02-L1,B-02-L1,-7.3,4.76,0.75,-7.284,4.8,0.75,-0.016,-0.04,0.0,0.043
WH1|B|03|1|SKU24054,SKU24054,B-03-L1,B-03-L1,-7.3,1.41,0.75,-7.284,1.45,0.75,-0.016,-0.04,0.0,0.043
WH1|C|05|3|SKU45487,SKU45487,C-05-L3,C-05-L3,-5.1,-4.71,4.15,-5.116,-4.75,4.15,0.016,0.04,0.0,0.043
WH1|D|05|3|SKU93649,SKU93649,D-05-L3,D-05-L3,-2.7,-3.16,4.15,-2.684,-3.2,4.15,-0.016,0.04,0.0,0.043
WH1|D|05|3|SKU26317,SKU26317,D-05-L3,D-05-L3,-2.7,-3.99,4.15,-2.684,-3.95,4.15,-0.016,-0.04,0.0,0.043
WH1|D|06|3|SKU25298,SKU25298,D-06-L3,D-06-L3,-2.7,-6.59,4.15,-2.684,-6.55,4.15,-0.016,-0.04,0.0,0.043
WH1|D|05|2|SKU42152,SKU42152,D-05-L2,D-05-L2,-2.7,-4.86,2.45,-2.684,-4.9,2.45,-0.016,0.04,0.0,0.043
WH1|D|05|2|SKU51049,SKU51049,D-05-L2,D-05-L2,-2.7,-4.11,2.45,-2.684,-4.15,2.45,-0.016,0.04,0.0,0.043
WH1|D|04|2|SKU36150,SKU36150,D-04-L2,D-04-L2,-2.7,-0.61,2.45,-2.684,-0.65,2.45,-0.016,0.04,0.0,0.043
WH1|D|03|1|SKU22962,SKU22962,D-03-L1,D-03-L1,-2.7,2.06,0.75,-2.684,2.1,0.75,-0.016,-0.04,0.0,0.043
WH1|E|02|3|SKU98812,SKU98812,E-02-L3,E-02-L3,-0.5,3.24,4.15,-0.516,3.2,4.15,0.016,0.04,0.0,0.043
WH1|E|01|3|SKU75640,SKU75640,E-01-L3,E-01-L3,-0.5,7.69,4.15,-0.516,7.65,4.15,0.016,0.04,0.0,0.043
WH1|F|02|1|SKU96118,SKU96118,F-02-L1,F-02-L1,1.9,4.76,0.75,1.916,4.8,0.75,-0.016,-0.04,0.0,0.043
WH1|G|06|3|SKU72688,SKU72688,G-06-L3,G-06-L3,4.1,-6.61,4.15,4.084,-6.65,4.15,0.016,0.04,0.0,0.043
WH1|G|02|3|SKU10565,SKU10565,G-02-L3,G-02-L3,4.1,4.19,4.15,4.084,4.15,4.15,0.016,0.04,0.0,0.043
WH1|H|05|1|SKU39784,SKU39784,H-05-L1,H-05-L1,6.5,-3.29,0.75,6.516,-3.25,0.75,-0.016,-0.04,0.0,0.043
WH1|G|03|2|SKU53220,SKU53220,G-03-L2,G-03-L2,4.1,0.46,2.45,4.084,0.5,2.45,0.016,-0.04,0.0,0.043
WH1|D|04|3|SKU78398,SKU78398,D-04-L3,D-04-L3,-2.7,-0.69,4.15,-2.684,-0.65,4.15,-0.016,-0.04,0.0,0.043
WH1|D|03|2|SKU42592,SKU42592,D-03-L2,D-03-L2,-2.7,0.59,2.45,-2.684,0.55,2.45,-0.016,0.04,0.0,0.043
WH1|A|04|2|SKU34046,SKU34046,A-04-L2,A-04-L2,-9.7,-1.39,2.45,-9.716,-1.35,2.45,0.016,-0.04,0.0,0.043
WH1|A|05|1|SKU25201,SKU25201,A-05-L1,A-05-L1,-9.7,-4.72,0.75,-9.716,-4.75,0.75,0.016,0.03,0.0,0.034
WH1|A|01|2|SKU11030,SKU11030,A-01-L2,A-01-L2,-9.7,6.52,2.45,-9.716,6.55,2.45,0.016,-0.03,0.0,0.034
WH1|A|04|2|SKU76891,SKU76891,A-04-L2,A-04-L2,-9.7,-2.18,2.45,-9.716,-2.15,2.45,0.016,-0.03,0.0,0.034
