qr,product_id,filed,truth,est_x,est_y,est_z,true_x,true_y,true_z,dx_m,dy_m,dz_m,offset_m
WH1|D|01|1|SKU25224,SKU25224,D-01-L1,D-01-L1,-2.7,6.49,0.75,-2.684,6.55,0.8,-0.016,-0.06,-0.05,0.08
WH1|H|02|2|SKU87257,SKU87257,H-02-L2,H-02-L2,6.5,4.01,2.45,6.516,3.95,2.5,-0.016,0.06,-0.05,0.08
WH1|A|01|3|SKU94335,SKU94335,A-01-L3,A-01-L3,-9.7,6.9,4.15,-9.716,6.85,4.1,0.016,0.05,0.05,0.072
WH1|E|05|3|SKU12226,SKU12226,E-05-L3,E-05-L3,-0.5,-4.85,4.15,-0.516,-4.9,4.1,0.016,0.05,0.05,0.072
WH1|C|05|3|SKU40098,SKU40098,C-05-L3,C-05-L3,-5.1,-3.9,4.15,-5.116,-3.95,4.1,0.016,0.05,0.05,0.072
WH1|C|04|3|SKU39900,SKU39900,C-04-L3,C-04-L3,-5.1,-2.15,4.15,-5.116,-2.2,4.1,0.016,0.05,0.05,0.072
WH1|C|04|3|SKU93511,SKU93511,C-04-L3,C-04-L3,-5.1,-1.5,4.15,-5.116,-1.55,4.1,0.016,0.05,0.05,0.072
WH1|C|03|3|SKU52001,SKU52001,C-03-L3,C-03-L3,-5.1,1.6,4.15,-5.116,1.55,4.1,0.016,0.05,0.05,0.072
WH1|A|06|3|SKU91287,SKU91287,A-06-L3,A-06-L3,-9.7,-6.7,4.15,-9.716,-6.75,4.1,0.016,0.05,0.05,0.072
WH1|A|05|3|SKU41001,SKU41001,A-05-L3,A-05-L3,-9.7,-4.1,4.15,-9.716,-4.05,4.1,0.016,-0.05,0.05,0.072
WH1|C|05|3|SKU22797,SKU22797,C-05-L3,C-05-L3,-5.1,-3.2,4.15,-5.116,-3.25,4.1,0.016,0.05,0.05,0.072
WH1|C|03|3|SKU72232,SKU72232,C-03-L3,C-03-L3,-5.1,2.25,4.15,-5.116,2.2,4.1,0.016,0.05,0.05,0.072
WH1|C|02|3|SKU84067,SKU84067,C-02-L3,C-02-L3,-5.1,5.0,4.15,-5.116,4.95,4.1,0.016,0.05,0.05,0.072
WH1|B|03|1|SKU57957,SKU57957,B-03-L1,B-03-L1,-7.3,2.15,0.75,-7.284,2.2,0.7,-0.016,-0.05,0.05,0.072
WH1|B|04|1|SKU69813,SKU69813,B-04-L1,B-04-L1,-7.3,-2.1,0.75,-7.284,-2.05,0.8,-0.016,-0.05,-0.05,0.072
WH1|F|04|1|SKU57773,SKU57773,F-04-L1,F-04-L1,1.9,-2.1,0.75,1.916,-2.05,0.8,-0.016,-0.05,-0.05,0.072
WH1|A|04|3|SKU35924,SKU35924,A-04-L3,A-04-L3,-9.7,-2.05,4.15,-9.716,-2.1,4.2,0.016,0.05,-0.05,0.072
WH1|B|04|1|SKU87899,SKU87899,B-04-L1,B-04-L1,-7.3,-1.3,0.75,-7.284,-1.25,0.7,-0.016,-0.05,0.05,0.072
WH1|D|03|1|SKU12866,SKU12866,D-03-L1,D-03-L1,-2.7,1.3,0.75,-2.684,1.35,0.7,-0.016,-0.05,0.05,0.072
WH1|D|04|1|SKU46921,SKU46921,D-04-L1,D-04-L1,-2.7,-1.5,0.75,-2.684,-1.45,0.7,-0.016,-0.05,0.05,0.072
WH1|G|05|2|SKU44347,SKU44347,G-05-L2,G-05-L2,4.1,-3.9,2.45,4.084,-3.85,2.4,0.016,-0.05,0.05,0.072
WH1|H|03|1|SKU56612,SKU56612,H-03-L1,H-03-L1,6.5,0.45,0.75,6.516,0.5,0.7,-0.016,-0.05,0.05,0.072
WH1|D|04|1|SKU88549,SKU88549,D-04-L1,D-04-L1,-2.7,-0.7,0.75,-2.684,-0.65,0.8,-0.016,-0.05,-0.05,0.072
WH1|F|03|1|SKU97575,SKU97575,F-03-L1,F-03-L1,1.9,0.6,0.75,1.916,0.55,0.8,-0.016,0.05,-0.05,0.072
WH1|B|01|1|SKU87883,SKU87883,B-01-L1,B-01-L1,-7.3,5.95,0.75,-7.284,6.0,0.8,-0.016,-0.05,-0.05,0.072
WH1|B|02|1|SKU69437,SKU69437,B-02-L1,B-02-L1,-7.3,4.0,0.75,-7.284,4.05,0.7,-0.016,-0.05,0.05,0.072
WH1|B|05|1|SKU81712,SKU81712,B-05-L1,B-05-L1,-7.3,-3.9,0.75,-7.284,-3.85,0.8,-0.016,-0.05,-0.05,0.072
WH1|B|06|1|SKU57208,SKU57208,B-06-L1,B-06-L1,-7.3,-6.8,0.75,-7.284,-6.75,0.8,-0.016,-0.05,-0.05,0.072
WH1|C|03|3|SKU19424,SKU19424,C-03-L3,C-03-L3,-5.1,0.75,4.15,-5.116,0.7,4.2,0.016,0.05,-0.05,0.072
WH1|D|01|1|SKU84238,SKU84238,D-01-L1,D-01-L1,-2.7,5.75,0.75,-2.684,5.8,0.7,-0.016,-0.05,0.05,0.072
WH1|D|05|1|SKU68183,SKU68183,D-05-L1,D-05-L1,-2.7,-4.2,0.75,-2.684,-4.15,0.8,-0.016,-0.05,-0.05,0.072
WH1|D|05|1|SKU38749,SKU38749,D-05-L1,D-05-L1,-2.7,-5.0,0.75,-2.684,-4.95,0.7,-0.016,-0.05,0.05,0.072
WH1|D|06|1|SKU80706,SKU80706,D-06-L1,D-06-L1,-2.7,-6.1,0.75,-2.684,-6.05,0.8,-0.016,-0.05,-0.05,0.072
WH1|D|06|1|SKU87027,SKU87027,D-06-L1,D-06-L1,-2.7,-7.7,0.75,-2.684,-7.65,0.7,-0.016,-0.05,0.05,0.072
WH1|F|05|1|SKU86032,SKU86032,F-05-L1,F-05-L1,1.9,-4.3,0.75,1.916,-4.25,0.7,-0.016,-0.05,0.05,0.072
WH1|F|05|1|SKU51412,SKU51412,F-05-L1,F-05-L1,1.9,-4.95,0.75,1.916,-4.9,0.7,-0.016,-0.05,0.05,0.072
WH1|F|06|1|SKU99393,SKU99393,F-06-L1,F-06-L1,1.9,-7.6,0.75,1.916,-7.55,0.8,-0.016,-0.05,-0.05,0.072
WH1|H|01|1|SKU76694,SKU76694,H-01-L1,H-01-L1,6.5,6.05,0.75,6.516,6.1,0.8,-0.016,-0.05,-0.05,0.072
WH1|C|04|3|SKU30303,SKU30303,C-04-L3,C-04-L3,-5.1,-0.65,4.15,-5.116,-0.7,4.2,0.016,0.05,-0.05,0.072
WH1|A|05|3|SKU43742,SKU43742,A-05-L3,A-05-L3,-9.7,-4.75,4.15,-9.716,-4.8,4.2,0.016,0.05,-0.05,0.072
WH1|A|05|3|SKU20459,SKU20459,A-05-L3,A-05-L3,-9.7,-3.25,4.15,-9.716,-3.3,4.2,0.016,0.05,-0.05,0.072
WH1|A|02|3|SKU18576,SKU18576,A-02-L3,A-02-L3,-9.7,4.8,4.15,-9.716,4.75,4.2,0.016,0.05,-0.05,0.072
WH1|A|01|3|SKU64140,SKU64140,A-01-L3,A-01-L3,-9.7,6.1,4.15,-9.716,6.05,4.2,0.016,0.05,-0.05,0.072
WH1|C|06|3|SKU94260,SKU94260,C-06-L3,C-06-L3,-5.1,-6.8,4.15,-5.116,-6.85,4.2,0.016,0.05,-0.05,0.072
WH1|C|02|3|SKU88632,SKU88632,C-02-L3,C-02-L3,-5.1,4.2,4.15,-5.116,4.15,4.2,0.016,0.05,-0.05,0.072
WH1|D|01|2|SKU71115,SKU71115,D-01-L2,D-01-L2,-2.7,7.55,2.45,-2.684,7.5,2.5,-0.016,0.05,-0.05,0.072
WH1|H|04|2|SKU38632,SKU38632,H-04-L2,H-04-L2,6.5,-2.0,2.45,6.516,-2.05,2.5,-0.016,0.05,-0.05,0.072
WH1|H|06|1|SKU17889,SKU17889,H-06-L1,H-06-L1,6.5,-6.82,0.75,6.516,-6.75,0.75,-0.016,-0.07,0.0,0.072
WH1|F|03|2|SKU90780,SKU90780,F-03-L2,F-03-L2,1.9,1.18,2.45,1.916,1.25,2.45,-0.016,-0.07,0.0,0.072
WH1|C|01|3|SKU67787,SKU67787,C-01-L3,C-01-L3,-5.1,7.69,4.15,-5.116,7.65,4.1,0.016,0.04,0.05,0.066
WH1|D|04|3|SKU52701,SKU52701,D-04-L3,D-04-L3,-2.7,-1.49,4.15,-2.684,-1.45,4.1,-0.016,-0.04,0.05,0.066
WH1|G|06|3|SKU95787,SKU95787,G-06-L3,G-06-L3,4.1,-5.86,4.15,4.084,-5.9,4.1,0.016,0.04,0.05,0.066
WH1|G|01|3|SKU28973,SKU28973,G-01-L3,G-01-L3,4.1,6.04,4.15,4.084,6.0,4.1,0.016,0.04,0.05,0.066
WH1|G|01|3|SKU91586,SKU91586,G-01-L3,G-01-L3,4.1,7.54,4.15,4.084,7.5,4.1,0.016,0.04,0.05,0.066
WH1|H|02|3|SKU49516,SKU49516,H-02-L3,H-02-L3,6.5,4.21,4.15,6.516,4.25,4.1,-0.016,-0.04,0.05,0.066
WH1|A|01|2|SKU68135,SKU68135,A-01-L2,A-01-L2,-9.7,5.81,2.45,-9.716,5.85,2.4,0.016,-0.04,0.05,0.066
WH1|A|03|2|SKU68044,SKU68044,A-03-L2,A-03-L2,-9.7,1.41,2.45,-9.716,1.45,2.4,0.016,-0.04,0.05,0.066
WH1|A|05|2|SKU11523,SKU11523,A-05-L2,A-05-L2,-9.7,-3.19,2.45,-9.716,-3.15,2.4,0.016,-0.04,0.05,0.066
WH1|B|06|2|SKU90395,SKU90395,B-06-L2,B-06-L2,-7.3,-5.86,2.45,-7.284,-5.9,2.4,-0.016,0.04,0.05,0.066
WH1|B|05|2|SKU30426,SKU30426,B-05-L2,B-05-L2,-7.3,-3.11,2.45,-7.284,-3.15,2.4,-0.016,0.04,0.05,0.066
WH1|B|04|2|SKU45537,SKU45537,B-04-L2,B-04-L2,-7.3,-0.51,2.45,-7.284,-0.55,2.4,-0.016,0.04,0.05,0.066
WH1|B|03|2|SKU14987,SKU14987,B-03-L2,B-03-L2,-7.3,2.24,2.45,-7.284,2.2,2.4,-0.016,0.04,0.05,0.066
WH1|D|06|2|SKU98726,SKU98726,D-06-L2,D-06-L2,-2.7,-6.61,2.45,-2.684,-6.65,2.4,-0.016,0.04,0.05,0.066
WH1|D|06|2|SKU72158,SKU72158,D-06-L2,D-06-L2,-2.7,-5.91,2.45,-2.684,-5.95,2.4,-0.016,0.04,0.05,0.066
WH1|D|04|2|SKU23157,SKU23157,D-04-L2,D-04-L2,-2.7,-1.41,2.45,-2.684,-1.45,2.4,-0.016,0.04,0.05,0.066
WH1|D|03|2|SKU65641,SKU65641,D-03-L2,D-03-L2,-2.7,1.29,2.45,-2.684,1.25,2.4,-0.016,0.04,0.05,0.066
WH1|D|02|2|SKU10252,SKU10252,D-02-L2,D-02-L2,-2.7,3.24,2.45,-2.684,3.2,2.4,-0.016,0.04,0.05,0.066
WH1|D|02|2|SKU47029,SKU47029,D-02-L2,D-02-L2,-2.7,4.94,2.45,-2.684,4.9,2.4,-0.016,0.04,0.05,0.066
WH1|D|01|2|SKU92970,SKU92970,D-01-L2,D-01-L2,-2.7,6.79,2.45,-2.684,6.75,2.4,-0.016,0.04,0.05,0.066
WH1|F|01|2|SKU27049,SKU27049,F-01-L2,F-01-L2,1.9,6.79,2.45,1.916,6.75,2.4,-0.016,0.04,0.05,0.066
WH1|G|05|2|SKU94937,SKU94937,G-05-L2,G-05-L2,4.1,-3.24,2.45,4.084,-3.2,2.4,0.016,-0.04,0.05,0.066
WH1|H|05|2|SKU83406,SKU83406,H-05-L2,H-05-L2,6.5,-4.01,2.45,6.516,-4.05,2.4,-0.016,0.04,0.05,0.066
WH1|H|01|2|SKU18509,SKU18509,H-01-L2,H-01-L2,6.5,5.94,2.45,6.516,5.9,2.4,-0.016,0.04,0.05,0.066
WH1|H|01|2|SKU93465,SKU93465,H-01-L2,H-01-L2,6.5,6.59,2.45,6.516,6.55,2.4,-0.016,0.04,0.05,0.066
WH1|A|03|1|SKU34683,SKU34683,A-03-L1,A-03-L1,-9.7,0.54,0.75,-9.716,0.5,0.7,0.016,0.04,0.05,0.066
WH1|B|01|1|SKU17061,SKU17061,B-01-L1,B-01-L1,-7.3,6.91,0.75,-7.284,6.95,0.8,-0.016,-0.04,-0.05,0.066
WH1|B|05|1|SKU56041,SKU56041,B-05-L1,B-05-L1,-7.3,-3.14,0.75,-7.284,-3.1,0.7,-0.016,-0.04,0.05,0.066
WH1|B|05|1|SKU15154,SKU15154,B-05-L1,B-05-L1,-7.3,-4.84,0.75,-7.284,-4.8,0.8,-0.016,-0.04,-0.05,0.066
WH1|D|01|1|SKU79888,SKU79888,D-01-L1,D-01-L1,-2.7,7.46,0.75,-2.684,7.5,0.8,-0.016,-0.04,-0.05,0.066
WH1|D|02|1|SKU13308,SKU13308,D-02-L1,D-02-L1,-2.7,3.26,0.75,-2.684,3.3,0.8,-0.016,-0.04,-0.05,0.066
WH1|F|02|1|SKU78728,SKU78728,F-02-L1,F-02-L1,1.9,4.01,0.75,1.916,4.05,0.7,-0.016,-0.04,0.05,0.066
WH1|F|03|1|SKU29359,SKU29359,F-03-L1,F-03-L1,1.9,2.11,0.75,1.916,2.15,0.8,-0.016,-0.04,-0.05,0.066
WH1|F|05|1|SKU68108,SKU68108,F-05-L1,F-05-L1,1.9,-3.44,0.75,1.916,-3.4,0.8,-0.016,-0.04,-0.05,0.066
WH1|F|06|1|SKU66072,SKU66072,F-06-L1,F-06-L1,1.9,-5.99,0.75,1.916,-5.95,0.8,-0.016,-0.04,-0.05,0.066
WH1|G|06|1|SKU93288,SKU93288,G-06-L1,G-06-L1,4.1,-6.01,0.75,4.084,-6.05,0.8,0.016,0.04,-0.05,0.066
WH1|H|02|1|SKU66413,SKU66413,H-02-L1,H-02-L1,6.5,3.36,0.75,6.516,3.4,0.8,-0.016,-0.04,-0.05,0.066
WH1|H|03|1|SKU43407,SKU43407,H-03-L1,H-03-L1,6.5,2.16,0.75,6.516,2.2,0.7,-0.016,-0.04,0.05,0.066
WH1|H|04|1|SKU50095,SKU50095,H-04-L1,H-04-L1,6.5,-2.14,0.75,6.516,-2.1,0.7,-0.016,-0.04,0.05,0.066
WH1|H|06|1|SKU63643,SKU63643,H-06-L1,H-06-L1,6.5,-5.99,0.75,6.516,-5.95,0.8,-0.016,-0.04,-0.05,0.066
WH1|H|06|1|SKU19688,SKU19688,H-06-L1,H-06-L1,6.5,-7.59,0.75,6.516,-7.55,0.8,-0.016,-0.04,-0.05,0.066
WH1|A|02|2|SKU25590,SKU25590,A-02-L2,A-02-L2,-9.7,4.76,2.45,-9.716,4.8,2.5,0.016,-0.04,-0.05,0.066
WH1|A|06|2|SKU22663,SKU22663,A-06-L2,A-06-L2,-9.7,-6.69,2.45,-9.716,-6.65,2.5,0.016,-0.04,-0.05,0.066
WH1|A|06|2|SKU65522,SKU65522,A-06-L2,A-06-L2,-9.7,-7.59,2.45,-9.716,-7.55,2.5,0.016,-0.04,-0.05,0.066
WH1|B|05|2|SKU56692,SKU56692,B-05-L2,B-05-L2,-7.3,-4.71,2.45,-7.284,-4.75,2.5,-0.016,0.04,-0.05,0.066
WH1|B|02|2|SKU63140,SKU63140,B-02-L2,B-02-L2,-7.3,3.99,2.45,-7.284,3.95,2.5,-0.016,0.04,-0.05,0.066
WH1|B|02|2|SKU28918,SKU28918,B-02-L2,B-02-L2,-7.3,4.89,2.45,-7.284,4.85,2.5,-0.016,0.04,-0.05,0.066
WH1|B|01|2|SKU30670,SKU30670,B-01-L2,B-01-L2,-7.3,7.59,2.45,-7.284,7.55,2.5,-0.016,0.04,-0.05,0.066
WH1|C|05|2|SKU60624,SKU60624,C-05-L2,C-05-L2,-5.1,-4.09,2.45,-5.116,-4.05,2.5,0.016,-0.04,-0.05,0.066
WH1|C|06|2|SKU80461,SKU80461,C-06-L2,C-06-L2,-5.1,-6.69,2.45,-5.116,-6.65,2.5,0.016,-0.04,-0.05,0.066
WH1|C|06|3|SKU73198,SKU73198,C-06-L3,C-06-L3,-5.1,-5.91,4.15,-5.116,-5.95,4.2,0.016,0.04,-0.05,0.066
WH1|C|01|3|SKU30821,SKU30821,C-01-L3,C-01-L3,-5.1,6.89,4.15,-5.116,6.85,4.2,0.016,0.04,-0.05,0.066
WH1|D|05|3|SKU76366,SKU76366,D-05-L3,D-05-L3,-2.7,-4.84,4.15,-2.684,-4.8,4.2,-0.016,-0.04,-0.05,0.066
WH1|D|06|3|SKU63976,SKU63976,D-06-L3,D-06-L3,-2.7,-7.49,4.15,-2.684,-7.45,4.2,-0.016,-0.04,-0.05,0.066
WH1|D|05|2|SKU70992,SKU70992,D-05-L2,D-05-L2,-2.7,-3.26,2.45,-2.684,-3.3,2.5,-0.016,0.04,-0.05,0.066
WH1|D|02|2|SKU66865,SKU66865,D-02-L2,D-02-L2,-2.7,4.09,2.45,-2.684,4.05,2.5,-0.016,0.04,-0.05,0.066
WH1|D|01|2|SKU19058,SKU19058,D-01-L2,D-01-L2,-2.7,6.04,2.45,-2.684,6.0,2.5,-0.016,0.04,-0.05,0.066
WH1|E|03|3|SKU30177,SKU30177,E-03-L3,E-03-L3,-0.5,0.64,4.15,-0.516,0.6,4.2,0.016,0.04,-0.05,0.066
WH1|E|02|3|SKU45183,SKU45183,E-02-L3,E-02-L3,-0.5,4.84,4.15,-0.516,4.8,4.2,0.016,0.04,-0.05,0.066
WH1|E|01|3|SKU83113,SKU83113,E-01-L3,E-01-L3,-0.5,5.99,4.15,-0.516,5.95,4.2,0.016,0.04,-0.05,0.066
WH1|E|01|3|SKU29638,SKU29638,E-01-L3,E-01-L3,-0.5,6.89,4.15,-0.516,6.85,4.2,0.016,0.04,-0.05,0.066
WH1|G|05|3|SKU49076,SKU49076,G-05-L3,G-05-L3,4.1,-3.26,4.15,4.084,-3.3,4.2,0.016,0.04,-0.05,0.066
WH1|H|02|3|SKU51039,SKU51039,H-02-L3,H-02-L3,6.5,3.36,4.15,6.516,3.4,4.2,-0.016,-0.04,-0.05,0.066
WH1|B|03|2|SKU36871,SKU36871,B-03-L2,B-03-L2,-7.3,0.66,2.45,-7.284,0.6,2.45,-0.016,0.06,0.0,0.062
WH1|H|02|2|SKU94685,SKU94685,H-02-L2,H-02-L2,6.5,3.21,2.45,6.516,3.15,2.45,-0.016,0.06,0.0,0.062
WH1|D|03|1|SKU16683,SKU16683,D-03-L1,D-03-L1,-2.7,0.54,0.75,-2.684,0.6,0.75,-0.016,-0.06,0.0,0.062
WH1|B|02|1|SKU23204,SKU23204,B-02-L1,B-02-L1,-7.3,3.24,0.75,-7.284,3.3,0.75,-0.016,-0.06,0.0,0.062
WH1|E|06|3|SKU91963,SKU91963,E-06-L3,E-06-L3,-0.5,-5.96,4.15,-0.516,-5.9,4.15,0.016,-0.06,0.0,0.062
WH1|G|02|3|SKU54696,SKU54696,G-02-L3,G-02-L3,4.1,4.96,4.15,4.084,4.9,4.15,0.016,0.06,0.0,0.062
WH1|B|06|3|SKU70348,SKU70348,B-06-L3,B-06-L3,-7.3,-5.98,4.15,-7.284,-5.95,4.1,-0.016,-0.03,0.05,0.06
WH1|D|01|3|SKU86558,SKU86558,D-01-L3,D-01-L3,-2.7,6.62,4.15,-2.684,6.65,4.1,-0.016,-0.03,0.05,0.06
WH1|D|01|3|SKU30631,SKU30631,D-01-L3,D-01-L3,-2.7,5.92,4.15,-2.684,5.95,4.1,-0.016,-0.03,0.05,0.06
WH1|D|02|3|SKU37145,SKU37145,D-02-L3,D-02-L3,-2.7,3.92,4.15,-2.684,3.95,4.1,-0.016,-0.03,0.05,0.06
WH1|D|03|3|SKU90457,SKU90457,D-03-L3,D-03-L3,-2.7,2.07,4.15,-2.684,2.1,4.1,-0.016,-0.03,0.05,0.06
WH1|D|06|3|SKU60690,SKU60690,D-06-L3,D-06-L3,-2.7,-5.88,4.15,-2.684,-5.85,4.1,-0.016,-0.03,0.05,0.06
WH1|E|05|3|SKU85670,SKU85670,E-05-L3,E-05-L3,-0.5,-4.22,4.15,-0.516,-4.25,4.1,0.016,0.03,0.05,0.06
WH1|E|04|3|SKU92271,SKU92271,E-04-L3,E-04-L3,-0.5,-2.17,4.15,-0.516,-2.2,4.1,0.016,0.03,0.05,0.06
WH1|E|03|3|SKU93071,SKU93071,E-03-L3,E-03-L3,-0.5,2.33,4.15,-0.516,2.3,4.1,0.016,0.03,0.05,0.06
WH1|F|06|3|SKU41745,SKU41745,F-06-L3,F-06-L3,1.9,-7.73,4.15,1.916,-7.7,4.1,-0.016,-0.03,0.05,0.06
WH1|G|05|3|SKU64717,SKU64717,G-05-L3,G-05-L3,4.1,-4.02,4.15,4.084,-4.05,4.1,0.016,0.03,0.05,0.06
WH1|G|03|3|SKU13231,SKU13231,G-03-L3,G-03-L3,4.1,2.33,4.15,4.084,2.3,4.1,0.016,0.03,0.05,0.06
WH1|D|03|3|SKU54567,SKU54567,D-03-L3,D-03-L3,-2.7,1.32,4.15,-2.684,1.35,4.1,-0.016,-0.03,0.05,0.06
WH1|D|03|3|SKU80167,SKU80167,D-03-L3,D-03-L3,-2.7,0.57,4.15,-2.684,0.6,4.1,-0.016,-0.03,0.05,0.06
WH1|E|04|3|SKU98389,SKU98389,E-04-L3,E-04-L3,-0.5,-0.47,4.15,-0.516,-0.5,4.1,0.016,0.03,0.05,0.06
WH1|F|05|3|SKU78989,SKU78989,F-05-L3,F-05-L3,1.9,-3.88,4.15,1.916,-3.85,4.1,-0.016,-0.03,0.05,0.06
WH1|A|02|2|SKU36226,SKU36226,A-02-L2,A-02-L2,-9.7,3.07,2.45,-9.716,3.1,2.4,0.016,-0.03,0.05,0.06
WH1|C|06|2|SKU59904,SKU59904,C-06-L2,C-06-L2,-5.1,-5.88,2.45,-5.116,-5.85,2.4,0.016,-0.03,0.05,0.06
WH1|F|06|2|SKU23852,SKU23852,F-06-L2,F-06-L2,1.9,-5.92,2.45,1.916,-5.95,2.4,-0.016,0.03,0.05,0.06
WH1|G|01|2|SKU85254,SKU85254,G-01-L2,G-01-L2,4.1,7.73,2.45,4.084,7.7,2.4,0.016,0.03,0.05,0.06
WH1|G|02|2|SKU70039,SKU70039,G-02-L2,G-02-L2,4.1,4.87,2.45,4.084,4.9,2.4,0.016,-0.03,0.05,0.06
WH1|H|06|2|SKU98675,SKU98675,H-06-L2,H-06-L2,6.5,-5.87,2.45,6.516,-5.9,2.4,-0.016,0.03,0.05,0.06
WH1|B|06|3|SKU95745,SKU95745,B-06-L3,B-06-L3,-7.3,-6.68,4.15,-7.284,-6.65,4.1,-0.016,-0.03,0.05,0.06
WH1|C|03|2|SKU25842,SKU25842,C-03-L2,C-03-L2,-5.1,0.37,2.45,-5.116,0.4,2.4,0.016,-0.03,0.05,0.06
WH1|H|04|2|SKU87165,SKU87165,H-04-L2,H-04-L2,6.5,-0.42,2.45,6.516,-0.45,2.4,-0.016,0.03,0.05,0.06
WH1|H|03|2|SKU82815,SKU82815,H-03-L2,H-03-L2,6.5,0.48,2.45,6.516,0.45,2.4,-0.016,0.03,0.05,0.06
WH1|A|06|1|SKU64814,SKU64814,A-06-L1,A-06-L1,-9.7,-6.92,0.75,-9.716,-6.95,0.7,0.016,0.03,0.05,0.06
WH1|A|05|1|SKU38202,SKU38202,A-05-L1,A-05-L1,-9.7,-3.92,0.75,-9.716,-3.95,0.7,0.016,0.03,0.05,0.06
WH1|A|04|1|SKU30563,SKU30563,A-04-L1,A-04-L1,-9.7,-2.07,0.75,-9.716,-2.1,0.8,0.016,0.03,-0.05,0.06
WH1|A|02|1|SKU49098,SKU49098,A-02-L1,A-02-L1,-9.7,3.33,0.75,-9.716,3.3,0.7,0.016,0.03,0.05,0.06
WH1|A|02|1|SKU53254,SKU53254,A-02-L1,A-02-L1,-9.7,4.08,0.75,-9.716,4.05,0.7,0.016,0.03,0.05,0.06
WH1|A|01|1|SKU74551,SKU74551,A-01-L1,A-01-L1,-9.7,6.13,0.75,-9.716,6.1,0.8,0.016,0.03,-0.05,0.06
WH1|A|01|1|SKU96763,SKU96763,A-01-L1,A-01-L1,-9.7,6.98,0.75,-9.716,6.95,0.7,0.016,0.03,0.05,0.06
WH1|A|01|1|SKU76553,SKU76553,A-01-L1,A-01-L1,-9.7,7.63,0.75,-9.716,7.6,0.7,0.016,0.03,0.05,0.06
WH1|F|01|1|SKU64304,SKU64304,F-01-L1,F-01-L1,1.9,6.92,0.75,1.916,6.95,0.7,-0.016,-0.03,0.05,0.06
WH1|H|01|1|SKU16078,SKU16078,H-01-L1,H-01-L1,6.5,6.92,0.75,6.516,6.95,0.7,-0.016,-0.03,0.05,0.06
WH1|H|02|1|SKU99012,SKU99012,H-02-L1,H-02-L1,6.5,4.22,0.75,6.516,4.25,0.7,-0.016,-0.03,0.05,0.06
WH1|D|04|2|SKU20134,SKU20134,D-04-L2,D-04-L2,-2.7,-2.12,2.45,-2.684,-2.15,2.4,-0.016,0.03,0.05,0.06
WH1|F|02|2|SKU29747,SKU29747,F-02-L2,F-02-L2,1.9,3.13,2.45,1.916,3.1,2.4,-0.016,0.03,0.05,0.06
WH1|A|04|1|SKU39851,SKU39851,A-04-L1,A-04-L1,-9.7,-1.32,0.75,-9.716,-1.35,0.7,0.016,0.03,0.05,0.06
WH1|A|04|1|SKU27400,SKU27400,A-04-L1,A-04-L1,-9.7,-0.57,0.75,-9.716,-0.6,0.8,0.016,0.03,-0.05,0.06
WH1|A|03|1|SKU75096,SKU75096,A-03-L1,A-03-L1,-9.7,1.18,0.75,-9.716,1.15,0.7,0.016,0.03,0.05,0.06
WH1|H|03|1|SKU46590,SKU46590,H-03-L1,H-03-L1,6.5,1.32,0.75,6.516,1.35,0.8,-0.016,-0.03,-0.05,0.06
WH1|H|04|1|SKU46790,SKU46790,H-04-L1,H-04-L1,6.5,-0.63,0.75,6.516,-0.6,0.7,-0.016,-0.03,0.05,0.06
WH1|G|03|1|SKU81847,SKU81847,G-03-L1,G-03-L1,4.1,0.48,0.75,4.084,0.45,0.7,0.016,0.03,0.05,0.06
WH1|A|02|2|SKU70793,SKU70793,A-02-L2,A-02-L2,-9.7,3.82,2.45,-9.716,3.85,2.5,0.016,-0.03,-0.05,0.06
WH1|A|05|2|SKU57652,SKU57652,A-05-L2,A-05-L2,-9.7,-4.78,2.45,-9.716,-4.75,2.5,0.016,-0.03,-0.05,0.06
WH1|B|06|2|SKU90152,SKU90152,B-06-L2,B-06-L2,-7.3,-6.72,2.45,-7.284,-6.75,2.5,-0.016,0.03,-0.05,0.06
WH1|B|01|2|SKU24188,SKU24188,B-01-L2,B-01-L2,-7.3,5.98,2.45,-7.284,5.95,2.5,-0.016,0.03,-0.05,0.06
WH1|C|02|2|SKU35042,SKU35042,C-02-L2,C-02-L2,-5.1,4.12,2.45,-5.116,4.15,2.5,0.016,-0.03,-0.05,0.06
WH1|D|02|3|SKU80811,SKU80811,D-02-L3,D-02-L3,-2.7,4.72,4.15,-2.684,4.75,4.2,-0.016,-0.03,-0.05,0.06
WH1|D|03|2|SKU23492,SKU23492,D-03-L2,D-03-L2,-2.7,2.08,2.45,-2.684,2.05,2.5,-0.016,0.03,-0.05,0.06
WH1|F|01|3|SKU24818,SKU24818,F-01-L3,F-01-L3,1.9,7.58,4.15,1.916,7.55,4.2,-0.016,0.03,-0.05,0.06
WH1|F|02|2|SKU22439,SKU22439,F-02-L2,F-02-L2,1.9,4.83,2.45,1.916,4.8,2.5,-0.016,0.03,-0.05,0.06
WH1|G|02|2|SKU87651,SKU87651,G-02-L2,G-02-L2,4.1,4.02,2.45,4.084,4.05,2.5,0.016,-0.03,-0.05,0.06
WH1|G|02|3|SKU32376,SKU32376,G-02-L3,G-02-L3,4.1,3.33,4.15,4.084,3.3,4.2,0.016,0.03,-0.05,0.06
